emoji,codepoint,occurrences,negative,neutral,positive,name,block,primary_emotion
🧑🏽‍⚕️,0x1f9d1 0x1f3fd 0x200d 0x2695 0xfe0f,1000,100,400,500,HEALTH WORKER: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍⚕️,0x1f9d1 0x1f3fe 0x200d 0x2695 0xfe0f,1000,100,400,500,HEALTH WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍⚕️,0x1f9d1 0x1f3ff 0x200d 0x2695 0xfe0f,1000,100,400,500,HEALTH WORKER: DARK SKIN TONE,People & Body,Neutral
👨‍⚕️,0x1f468 0x200d 0x2695 0xfe0f,1000,100,400,500,MAN HEALTH WORKER,People & Body,Neutral
👨🏻‍⚕️,0x1f468 0x1f3fb 0x200d 0x2695 0xfe0f,1000,100,400,500,MAN HEALTH WORKER: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍⚕️,0x1f468 0x1f3fc 0x200d 0x2695 0xfe0f,1000,100,400,500,MAN HEALTH WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍⚕️,0x1f468 0x1f3fd 0x200d 0x2695 0xfe0f,1000,100,400,500,MAN HEALTH WORKER: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍⚕️,0x1f468 0x1f3fe 0x200d 0x2695 0xfe0f,1000,100,400,500,MAN HEALTH WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍⚕️,0x1f468 0x1f3ff 0x200d 0x2695 0xfe0f,1000,100,400,500,MAN HEALTH WORKER: DARK SKIN TONE,People & Body,Neutral
👩‍⚕️,0x1f469 0x200d 0x2695 0xfe0f,1000,100,400,500,WOMAN HEALTH WORKER,People & Body,Neutral
👩🏻‍⚕️,0x1f469 0x1f3fb 0x200d 0x2695 0xfe0f,1000,100,400,500,WOMAN HEALTH WORKER: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍⚕️,0x1f469 0x1f3fc 0x200d 0x2695 0xfe0f,1000,100,400,500,WOMAN HEALTH WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍⚕️,0x1f469 0x1f3fd 0x200d 0x2695 0xfe0f,1000,100,400,500,WOMAN HEALTH WORKER: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍⚕️,0x1f469 0x1f3fe 0x200d 0x2695 0xfe0f,1000,100,400,500,WOMAN HEALTH WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍⚕️,0x1f469 0x1f3ff 0x200d 0x2695 0xfe0f,1000,100,400,500,WOMAN HEALTH WORKER: DARK SKIN TONE,People & Body,Neutral
🧑‍🎓,0x1f9d1 0x200d 0x1f393,1000,100,400,500,STUDENT,People & Body,Neutral
🧑🏻‍🎓,0x1f9d1 0x1f3fb 0x200d 0x1f393,1000,100,400,500,STUDENT: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🎓,0x1f9d1 0x1f3fc 0x200d 0x1f393,1000,100,400,500,STUDENT: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍🎓,0x1f9d1 0x1f3fd 0x200d 0x1f393,1000,100,400,500,STUDENT: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍🎓,0x1f9d1 0x1f3fe 0x200d 0x1f393,1000,100,400,500,STUDENT: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍🎓,0x1f9d1 0x1f3ff 0x200d 0x1f393,1000,100,400,500,STUDENT: DARK SKIN TONE,People & Body,Neutral
👨‍🎓,0x1f468 0x200d 0x1f393,1000,100,400,500,MAN STUDENT,People & Body,Neutral
👨🏻‍🎓,0x1f468 0x1f3fb 0x200d 0x1f393,1000,100,400,500,MAN STUDENT: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍🎓,0x1f468 0x1f3fc 0x200d 0x1f393,1000,100,400,500,MAN STUDENT: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍🎓,0x1f468 0x1f3fd 0x200d 0x1f393,1000,100,400,500,MAN STUDENT: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍🎓,0x1f468 0x1f3fe 0x200d 0x1f393,1000,100,400,500,MAN STUDENT: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍🎓,0x1f468 0x1f3ff 0x200d 0x1f393,1000,100,400,500,MAN STUDENT: DARK SKIN TONE,People & Body,Neutral
👩‍🎓,0x1f469 0x200d 0x1f393,1000,100,400,500,WOMAN STUDENT,People & Body,Neutral
👩🏻‍🎓,0x1f469 0x1f3fb 0x200d 0x1f393,1000,100,400,500,WOMAN STUDENT: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🎓,0x1f469 0x1f3fc 0x200d 0x1f393,1000,100,400,500,WOMAN STUDENT: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍🎓,0x1f469 0x1f3fd 0x200d 0x1f393,1000,100,400,500,WOMAN STUDENT: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍🎓,0x1f469 0x1f3fe 0x200d 0x1f393,1000,100,400,500,WOMAN STUDENT: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍🎓,0x1f469 0x1f3ff 0x200d 0x1f393,1000,100,400,500,WOMAN STUDENT: DARK SKIN TONE,People & Body,Neutral
🧑‍🏫,0x1f9d1 0x200d 0x1f3eb,1000,100,400,500,TEACHER,People & Body,Neutral
🧑🏻‍🏫,0x1f9d1 0x1f3fb 0x200d 0x1f3eb,1000,100,400,500,TEACHER: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🏫,0x1f9d1 0x1f3fc 0x200d 0x1f3eb,1000,100,400,500,TEACHER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍🏫,0x1f9d1 0x1f3fd 0x200d 0x1f3eb,1000,100,400,500,TEACHER: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍🏫,0x1f9d1 0x1f3fe 0x200d 0x1f3eb,1000,100,400,500,TEACHER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍🏫,0x1f9d1 0x1f3ff 0x200d 0x1f3eb,1000,100,400,500,TEACHER: DARK SKIN TONE,People & Body,Neutral
👨‍🏫,0x1f468 0x200d 0x1f3eb,1000,100,400,500,MAN TEACHER,People & Body,Neutral
👨🏻‍🏫,0x1f468 0x1f3fb 0x200d 0x1f3eb,1000,100,400,500,MAN TEACHER: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍🏫,0x1f468 0x1f3fc 0x200d 0x1f3eb,1000,100,400,500,MAN TEACHER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍🏫,0x1f468 0x1f3fd 0x200d 0x1f3eb,1000,100,400,500,MAN TEACHER: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍🏫,0x1f468 0x1f3fe 0x200d 0x1f3eb,1000,100,400,500,MAN TEACHER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍🏫,0x1f468 0x1f3ff 0x200d 0x1f3eb,1000,100,400,500,MAN TEACHER: DARK SKIN TONE,People & Body,Neutral
👩‍🏫,0x1f469 0x200d 0x1f3eb,1000,100,400,500,WOMAN TEACHER,People & Body,Neutral
👩🏻‍🏫,0x1f469 0x1f3fb 0x200d 0x1f3eb,1000,100,400,500,WOMAN TEACHER: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🏫,0x1f469 0x1f3fc 0x200d 0x1f3eb,1000,100,400,500,WOMAN TEACHER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍🏫,0x1f469 0x1f3fd 0x200d 0x1f3eb,1000,100,400,500,WOMAN TEACHER: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍🏫,0x1f469 0x1f3fe 0x200d 0x1f3eb,1000,100,400,500,WOMAN TEACHER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍🏫,0x1f469 0x1f3ff 0x200d 0x1f3eb,1000,100,400,500,WOMAN TEACHER: DARK SKIN TONE,People & Body,Neutral
🧑‍⚖️,0x1f9d1 0x200d 0x2696 0xfe0f,1000,100,400,500,JUDGE,People & Body,Neutral
🧑🏻‍⚖️,0x1f9d1 0x1f3fb 0x200d 0x2696 0xfe0f,1000,100,400,500,JUDGE: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍⚖️,0x1f9d1 0x1f3fc 0x200d 0x2696 0xfe0f,1000,100,400,500,JUDGE: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍⚖️,0x1f9d1 0x1f3fd 0x200d 0x2696 0xfe0f,1000,100,400,500,JUDGE: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍⚖️,0x1f9d1 0x1f3fe 0x200d 0x2696 0xfe0f,1000,100,400,500,JUDGE: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍⚖️,0x1f9d1 0x1f3ff 0x200d 0x2696 0xfe0f,1000,100,400,500,JUDGE: DARK SKIN TONE,People & Body,Neutral
👨‍⚖️,0x1f468 0x200d 0x2696 0xfe0f,1000,100,400,500,MAN JUDGE,People & Body,Neutral
👨🏻‍⚖️,0x1f468 0x1f3fb 0x200d 0x2696 0xfe0f,1000,100,400,500,MAN JUDGE: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍⚖️,0x1f468 0x1f3fc 0x200d 0x2696 0xfe0f,1000,100,400,500,MAN JUDGE: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍⚖️,0x1f468 0x1f3fd 0x200d 0x2696 0xfe0f,1000,100,400,500,MAN JUDGE: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍⚖️,0x1f468 0x1f3fe 0x200d 0x2696 0xfe0f,1000,100,400,500,MAN JUDGE: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍⚖️,0x1f468 0x1f3ff 0x200d 0x2696 0xfe0f,1000,100,400,500,MAN JUDGE: DARK SKIN TONE,People & Body,Neutral
👩‍⚖️,0x1f469 0x200d 0x2696 0xfe0f,1000,100,400,500,WOMAN JUDGE,People & Body,Neutral
👩🏻‍⚖️,0x1f469 0x1f3fb 0x200d 0x2696 0xfe0f,1000,100,400,500,WOMAN JUDGE: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍⚖️,0x1f469 0x1f3fc 0x200d 0x2696 0xfe0f,1000,100,400,500,WOMAN JUDGE: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍⚖️,0x1f469 0x1f3fd 0x200d 0x2696 0xfe0f,1000,100,400,500,WOMAN JUDGE: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍⚖️,0x1f469 0x1f3fe 0x200d 0x2696 0xfe0f,1000,100,400,500,WOMAN JUDGE: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍⚖️,0x1f469 0x1f3ff 0x200d 0x2696 0xfe0f,1000,100,400,500,WOMAN JUDGE: DARK SKIN TONE,People & Body,Neutral
🧑‍🌾,0x1f9d1 0x200d 0x1f33e,1000,100,400,500,FARMER,People & Body,Neutral
🧑🏻‍🌾,0x1f9d1 0x1f3fb 0x200d 0x1f33e,1000,100,400,500,FARMER: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🌾,0x1f9d1 0x1f3fc 0x200d 0x1f33e,1000,100,400,500,FARMER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍🌾,0x1f9d1 0x1f3fd 0x200d 0x1f33e,1000,100,400,500,FARMER: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍🌾,0x1f9d1 0x1f3fe 0x200d 0x1f33e,1000,100,400,500,FARMER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍🌾,0x1f9d1 0x1f3ff 0x200d 0x1f33e,1000,100,400,500,FARMER: DARK SKIN TONE,People & Body,Neutral
👨‍🌾,0x1f468 0x200d 0x1f33e,1000,100,400,500,MAN FARMER,People & Body,Neutral
👨🏻‍🌾,0x1f468 0x1f3fb 0x200d 0x1f33e,1000,100,400,500,MAN FARMER: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍🌾,0x1f468 0x1f3fc 0x200d 0x1f33e,1000,100,400,500,MAN FARMER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍🌾,0x1f468 0x1f3fd 0x200d 0x1f33e,1000,100,400,500,MAN FARMER: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍🌾,0x1f468 0x1f3fe 0x200d 0x1f33e,1000,100,400,500,MAN FARMER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍🌾,0x1f468 0x1f3ff 0x200d 0x1f33e,1000,100,400,500,MAN FARMER: DARK SKIN TONE,People & Body,Neutral
👩‍🌾,0x1f469 0x200d 0x1f33e,1000,100,400,500,WOMAN FARMER,People & Body,Neutral
👩🏻‍🌾,0x1f469 0x1f3fb 0x200d 0x1f33e,1000,100,400,500,WOMAN FARMER: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🌾,0x1f469 0x1f3fc 0x200d 0x1f33e,1000,100,400,500,WOMAN FARMER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍🌾,0x1f469 0x1f3fd 0x200d 0x1f33e,1000,100,400,500,WOMAN FARMER: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍🌾,0x1f469 0x1f3fe 0x200d 0x1f33e,1000,100,400,500,WOMAN FARMER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍🌾,0x1f469 0x1f3ff 0x200d 0x1f33e,1000,100,400,500,WOMAN FARMER: DARK SKIN TONE,People & Body,Neutral
🧑‍🍳,0x1f9d1 0x200d 0x1f373,1000,20,80,900,COOK,People & Body,Approval
🧑🏻‍🍳,0x1f9d1 0x1f3fb 0x200d 0x1f373,1000,20,80,900,COOK: LIGHT SKIN TONE,People & Body,Approval
🧑🏼‍🍳,0x1f9d1 0x1f3fc 0x200d 0x1f373,1000,20,80,900,COOK: MEDIUM-LIGHT SKIN TONE,People & Body,Approval
🧑🏽‍🍳,0x1f9d1 0x1f3fd 0x200d 0x1f373,1000,20,80,900,COOK: MEDIUM SKIN TONE,People & Body,Approval
🧑🏾‍🍳,0x1f9d1 0x1f3fe 0x200d 0x1f373,1000,20,80,900,COOK: MEDIUM-DARK SKIN TONE,People & Body,Approval
🧑🏿‍🍳,0x1f9d1 0x1f3ff 0x200d 0x1f373,1000,20,80,900,COOK: DARK SKIN TONE,People & Body,Approval
👨‍🍳,0x1f468 0x200d 0x1f373,1000,20,80,900,MAN COOK,People & Body,Approval
👨🏻‍🍳,0x1f468 0x1f3fb 0x200d 0x1f373,1000,20,80,900,MAN COOK: LIGHT SKIN TONE,People & Body,Approval
👨🏼‍🍳,0x1f468 0x1f3fc 0x200d 0x1f373,1000,20,80,900,MAN COOK: MEDIUM-LIGHT SKIN TONE,People & Body,Approval
👨🏽‍🍳,0x1f468 0x1f3fd 0x200d 0x1f373,1000,20,80,900,MAN COOK: MEDIUM SKIN TONE,People & Body,Approval
👨🏾‍🍳,0x1f468 0x1f3fe 0x200d 0x1f373,1000,20,80,900,MAN COOK: MEDIUM-DARK SKIN TONE,People & Body,Approval
👨🏿‍🍳,0x1f468 0x1f3ff 0x200d 0x1f373,1000,20,80,900,MAN COOK: DARK SKIN TONE,People & Body,Approval
👩‍🍳,0x1f469 0x200d 0x1f373,1000,20,80,900,WOMAN COOK,People & Body,Approval
👩🏻‍🍳,0x1f469 0x1f3fb 0x200d 0x1f373,1000,20,80,900,WOMAN COOK: LIGHT SKIN TONE,People & Body,Approval
👩🏼‍🍳,0x1f469 0x1f3fc 0x200d 0x1f373,1000,20,80,900,WOMAN COOK: MEDIUM-LIGHT SKIN TONE,People & Body,Approval
👩🏽‍🍳,0x1f469 0x1f3fd 0x200d 0x1f373,1000,20,80,900,WOMAN COOK: MEDIUM SKIN TONE,People & Body,Approval
👩🏾‍🍳,0x1f469 0x1f3fe 0x200d 0x1f373,1000,20,80,900,WOMAN COOK: MEDIUM-DARK SKIN TONE,People & Body,Approval
👩🏿‍🍳,0x1f469 0x1f3ff 0x200d 0x1f373,1000,20,80,900,WOMAN COOK: DARK SKIN TONE,People & Body,Approval
🧑‍🔧,0x1f9d1 0x200d 0x1f527,1000,100,400,500,MECHANIC,People & Body,Neutral
🧑🏻‍🔧,0x1f9d1 0x1f3fb 0x200d 0x1f527,1000,100,400,500,MECHANIC: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🔧,0x1f9d1 0x1f3fc 0x200d 0x1f527,1000,100,400,500,MECHANIC: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍🔧,0x1f9d1 0x1f3fd 0x200d 0x1f527,1000,100,400,500,MECHANIC: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍🔧,0x1f9d1 0x1f3fe 0x200d 0x1f527,1000,100,400,500,MECHANIC: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍🔧,0x1f9d1 0x1f3ff 0x200d 0x1f527,1000,100,400,500,MECHANIC: DARK SKIN TONE,People & Body,Neutral
👨‍🔧,0x1f468 0x200d 0x1f527,1000,100,400,500,MAN MECHANIC,People & Body,Neutral
👨🏻‍🔧,0x1f468 0x1f3fb 0x200d 0x1f527,1000,100,400,500,MAN MECHANIC: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍🔧,0x1f468 0x1f3fc 0x200d 0x1f527,1000,100,400,500,MAN MECHANIC: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍🔧,0x1f468 0x1f3fd 0x200d 0x1f527,1000,100,400,500,MAN MECHANIC: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍🔧,0x1f468 0x1f3fe 0x200d 0x1f527,1000,100,400,500,MAN MECHANIC: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍🔧,0x1f468 0x1f3ff 0x200d 0x1f527,1000,100,400,500,MAN MECHANIC: DARK SKIN TONE,People & Body,Neutral
👩‍🔧,0x1f469 0x200d 0x1f527,1000,100,400,500,WOMAN MECHANIC,People & Body,Neutral
👩🏻‍🔧,0x1f469 0x1f3fb 0x200d 0x1f527,1000,100,400,500,WOMAN MECHANIC: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🔧,0x1f469 0x1f3fc 0x200d 0x1f527,1000,100,400,500,WOMAN MECHANIC: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍🔧,0x1f469 0x1f3fd 0x200d 0x1f527,1000,100,400,500,WOMAN MECHANIC: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍🔧,0x1f469 0x1f3fe 0x200d 0x1f527,1000,100,400,500,WOMAN MECHANIC: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍🔧,0x1f469 0x1f3ff 0x200d 0x1f527,1000,100,400,500,WOMAN MECHANIC: DARK SKIN TONE,People & Body,Neutral
🧑‍🏭,0x1f9d1 0x200d 0x1f3ed,1000,100,400,500,FACTORY WORKER,People & Body,Neutral
🧑🏻‍🏭,0x1f9d1 0x1f3fb 0x200d 0x1f3ed,1000,100,400,500,FACTORY WORKER: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🏭,0x1f9d1 0x1f3fc 0x200d 0x1f3ed,1000,100,400,500,FACTORY WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍🏭,0x1f9d1 0x1f3fd 0x200d 0x1f3ed,1000,100,400,500,FACTORY WORKER: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍🏭,0x1f9d1 0x1f3fe 0x200d 0x1f3ed,1000,100,400,500,FACTORY WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍🏭,0x1f9d1 0x1f3ff 0x200d 0x1f3ed,1000,100,400,500,FACTORY WORKER: DARK SKIN TONE,People & Body,Neutral
👨‍🏭,0x1f468 0x200d 0x1f3ed,1000,100,400,500,MAN FACTORY WORKER,People & Body,Neutral
👨🏻‍🏭,0x1f468 0x1f3fb 0x200d 0x1f3ed,1000,100,400,500,MAN FACTORY WORKER: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍🏭,0x1f468 0x1f3fc 0x200d 0x1f3ed,1000,100,400,500,MAN FACTORY WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍🏭,0x1f468 0x1f3fd 0x200d 0x1f3ed,1000,100,400,500,MAN FACTORY WORKER: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍🏭,0x1f468 0x1f3fe 0x200d 0x1f3ed,1000,100,400,500,MAN FACTORY WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍🏭,0x1f468 0x1f3ff 0x200d 0x1f3ed,1000,100,400,500,MAN FACTORY WORKER: DARK SKIN TONE,People & Body,Neutral
👩‍🏭,0x1f469 0x200d 0x1f3ed,1000,100,400,500,WOMAN FACTORY WORKER,People & Body,Neutral
👩🏻‍🏭,0x1f469 0x1f3fb 0x200d 0x1f3ed,1000,100,400,500,WOMAN FACTORY WORKER: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🏭,0x1f469 0x1f3fc 0x200d 0x1f3ed,1000,100,400,500,WOMAN FACTORY WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍🏭,0x1f469 0x1f3fd 0x200d 0x1f3ed,1000,100,400,500,WOMAN FACTORY WORKER: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍🏭,0x1f469 0x1f3fe 0x200d 0x1f3ed,1000,100,400,500,WOMAN FACTORY WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍🏭,0x1f469 0x1f3ff 0x200d 0x1f3ed,1000,100,400,500,WOMAN FACTORY WORKER: DARK SKIN TONE,People & Body,Neutral
🧑‍💼,0x1f9d1 0x200d 0x1f4bc,1000,100,400,500,OFFICE WORKER,People & Body,Neutral
🧑🏻‍💼,0x1f9d1 0x1f3fb 0x200d 0x1f4bc,1000,100,400,500,OFFICE WORKER: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍💼,0x1f9d1 0x1f3fc 0x200d 0x1f4bc,1000,100,400,500,OFFICE WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍💼,0x1f9d1 0x1f3fd 0x200d 0x1f4bc,1000,100,400,500,OFFICE WORKER: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍💼,0x1f9d1 0x1f3fe 0x200d 0x1f4bc,1000,100,400,500,OFFICE WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍💼,0x1f9d1 0x1f3ff 0x200d 0x1f4bc,1000,100,400,500,OFFICE WORKER: DARK SKIN TONE,People & Body,Neutral
👨‍💼,0x1f468 0x200d 0x1f4bc,1000,100,400,500,MAN OFFICE WORKER,People & Body,Neutral
👨🏻‍💼,0x1f468 0x1f3fb 0x200d 0x1f4bc,1000,100,400,500,MAN OFFICE WORKER: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍💼,0x1f468 0x1f3fc 0x200d 0x1f4bc,1000,100,400,500,MAN OFFICE WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍💼,0x1f468 0x1f3fd 0x200d 0x1f4bc,1000,100,400,500,MAN OFFICE WORKER: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍💼,0x1f468 0x1f3fe 0x200d 0x1f4bc,1000,100,400,500,MAN OFFICE WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍💼,0x1f468 0x1f3ff 0x200d 0x1f4bc,1000,100,400,500,MAN OFFICE WORKER: DARK SKIN TONE,People & Body,Neutral
👩‍💼,0x1f469 0x200d 0x1f4bc,1000,100,400,500,WOMAN OFFICE WORKER,People & Body,Neutral
👩🏻‍💼,0x1f469 0x1f3fb 0x200d 0x1f4bc,1000,100,400,500,WOMAN OFFICE WORKER: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍💼,0x1f469 0x1f3fc 0x200d 0x1f4bc,1000,100,400,500,WOMAN OFFICE WORKER: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍💼,0x1f469 0x1f3fd 0x200d 0x1f4bc,1000,100,400,500,WOMAN OFFICE WORKER: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍💼,0x1f469 0x1f3fe 0x200d 0x1f4bc,1000,100,400,500,WOMAN OFFICE WORKER: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍💼,0x1f469 0x1f3ff 0x200d 0x1f4bc,1000,100,400,500,WOMAN OFFICE WORKER: DARK SKIN TONE,People & Body,Neutral
🧑‍🔬,0x1f9d1 0x200d 0x1f52c,1000,100,400,500,SCIENTIST,People & Body,Neutral
🧑🏻‍🔬,0x1f9d1 0x1f3fb 0x200d 0x1f52c,1000,100,400,500,SCIENTIST: LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🔬,0x1f9d1 0x1f3fc 0x200d 0x1f52c,1000,100,400,500,SCIENTIST: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏽‍🔬,0x1f9d1 0x1f3fd 0x200d 0x1f52c,1000,100,400,500,SCIENTIST: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏾‍🔬,0x1f9d1 0x1f3fe 0x200d 0x1f52c,1000,100,400,500,SCIENTIST: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏿‍🔬,0x1f9d1 0x1f3ff 0x200d 0x1f52c,1000,100,400,500,SCIENTIST: DARK SKIN TONE,People & Body,Neutral
👨‍🔬,0x1f468 0x200d 0x1f52c,1000,100,400,500,MAN SCIENTIST,People & Body,Neutral
👨🏻‍🔬,0x1f468 0x1f3fb 0x200d 0x1f52c,1000,100,400,500,MAN SCIENTIST: LIGHT SKIN TONE,People & Body,Neutral
👨🏼‍🔬,0x1f468 0x1f3fc 0x200d 0x1f52c,1000,100,400,500,MAN SCIENTIST: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👨🏽‍🔬,0x1f468 0x1f3fd 0x200d 0x1f52c,1000,100,400,500,MAN SCIENTIST: MEDIUM SKIN TONE,People & Body,Neutral
👨🏾‍🔬,0x1f468 0x1f3fe 0x200d 0x1f52c,1000,100,400,500,MAN SCIENTIST: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👨🏿‍🔬,0x1f468 0x1f3ff 0x200d 0x1f52c,1000,100,400,500,MAN SCIENTIST: DARK SKIN TONE,People & Body,Neutral
👩‍🔬,0x1f469 0x200d 0x1f52c,1000,100,400,500,WOMAN SCIENTIST,People & Body,Neutral
👩🏻‍🔬,0x1f469 0x1f3fb 0x200d 0x1f52c,1000,100,400,500,WOMAN SCIENTIST: LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🔬,0x1f469 0x1f3fc 0x200d 0x1f52c,1000,100,400,500,WOMAN SCIENTIST: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏽‍🔬,0x1f469 0x1f3fd 0x200d 0x1f52c,1000,100,400,500,WOMAN SCIENTIST: MEDIUM SKIN TONE,People & Body,Neutral
👩🏾‍🔬,0x1f469 0x1f3fe 0x200d 0x1f52c,1000,100,400,500,WOMAN SCIENTIST: MEDIUM-DARK SKIN TONE,People & Body,Neutral
👩🏿‍🔬,0x1f469 0x1f3ff 0x200d 0x1f52c,1000,100,400,500,WOMAN SCIENTIST: DARK SKIN TONE,People & Body,Neutral
